(cur prev) 00:04, 10 April 2019 . . Arunkumar (talk | contribs) edited the description . . (+883)‎ undo
(cur prev	topic) 19:15, 5 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+11)‎ hidedelete
(cur prev	topic) 16:09, 5 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (it is simple too. I am trying now. I had this Idea in the morning. But I was Exhausted. I will try now.) . . (+103)‎ hidedelete
(cur prev	topic) 15:07, 5 March 2019 . . Koushik Kamalahasan (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (We can move the question to week 5. I did try assign array A to B. Sorting B and comparing it with A. I want to write a logic to sort A...) . . (+168)‎ hidedelete
(cur prev) 04:23, 5 March 2019 . . Arunkumar (talk | contribs) edited the description . . (+521)‎ undo
(cur prev	topic) 03:17, 5 March 2019 . . HardcodeCoder (talk | contribs) commented on """timetuple().tm_yday"" what does this do..????" (Happy coding :-)) . . (+16)‎ hidedelete
(cur prev) 02:53, 5 March 2019 . . Arunkumar (talk | contribs) edited the description . . (+1,905)‎ undo
(cur prev	topic) 01:44, 5 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+6)‎ hidedelete
(cur prev	topic) 01:43, 5 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+62)‎ hidedelete
(cur prev	topic) 01:41, 5 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (Everyone is having the same problem. I am waiting to hear some one to announce that they have scored 100 after submission. :)) . . (+125)‎ hidedelete
(cur prev	topic) 01:40, 5 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+3)‎ hidedelete
(cur prev	topic) 01:39, 5 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (-155)‎ hidedelete
(cur prev	topic) 21:50, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+44)‎ hidedelete
(cur prev	topic) 21:47, 4 March 2019 . . Koushik Kamalahasan (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (Below is my new code: A=input().split(" ") N=len(A) for i in range (N): A[i] = int (A[i]) count = 0 lowest = A[0] lowest2 = N...) . . (+1,168)‎ hidedelete
(cur prev	topic) 21:46, 4 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (I just noticed! We are discussing Week 5 Question in Week 4! :))) . . (+79)‎ hidedelete
(cur prev	topic) 21:43, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+129)‎ hidedelete
(cur prev	topic) 21:39, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (-3)‎ hidedelete
(cur prev	topic) 21:39, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+2)‎ hidedelete
(cur prev	topic) 21:38, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+10)‎ hidedelete
(cur prev	topic) 21:35, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+37)‎ hidedelete
(cur prev	topic) 21:28, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+16)‎ hidedelete
(cur prev	topic) 21:26, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+31)‎ hidedelete
(cur prev	topic) 21:23, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+1)‎ hidedelete
(cur prev	topic) 21:22, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+6)‎ hidedelete
(cur prev	topic) 21:22, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (-8)‎ hidedelete
(cur prev	topic) 21:21, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (0)‎ hidedelete
(cur prev	topic) 21:20, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+26)‎ hidedelete
(cur prev	topic) 21:18, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+113)‎ hidedelete
(cur prev	topic) 21:16, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (0)‎ hidedelete
(cur prev	topic) 21:15, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+6)‎ hidedelete
(cur prev	topic) 21:15, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+190)‎ hidedelete
(cur prev	topic) 21:12, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+18)‎ hidedelete
(cur prev	topic) 21:11, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+27)‎ hidedelete
(cur prev	topic) 21:10, 4 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (#A=list(map(int,input().split())) A=[1,3,2,4,5] #A=[1,3,2,4,4,5] A=[1,3,2,4,1,5] #A=[1,1,2,2,4,4,6,6,5,7] B=sorted(A) moves=0 if (len(A)...) . . (+675)‎ hidedelete
(cur prev	topic) 21:02, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (0)‎ hidedelete
(cur prev	topic) 21:02, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+6)‎ hidedelete
(cur prev	topic) 21:00, 4 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (Write a loop which will go through the indexes in such a way that, they will cover the list from 0 till n Lets say above list index ra...) . . (+353)‎ hidedelete
(cur prev	topic) 20:54, 4 March 2019 . . Koushik Kamalahasan (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (Thanks for the reply. I found the first lowest and second lowest (here 1 and 2) compared the position and if required moved the second l...) . . (+255)‎ hidedelete
(cur prev	topic) 17:57, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+107)‎ hidedelete
(cur prev	topic) 17:54, 4 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (updated my answer check) . . (+23)‎ hidedelete
(cur prev	topic) 17:54, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+322)‎ hidedelete
(cur prev	topic) 17:47, 4 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort - Test Case 3" . . (+3)‎ hidedelete
(cur prev	topic) 17:47, 4 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (Still i am failing one of the hidden tests. but for your question, i can share a logic. NOTE: Maybe experienced or smarter person can co...) . . (+574)‎ hidedelete
(cur prev	topic) 17:38, 4 March 2019 . . Koushik Kamalahasan (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (how do I tell the computer that 3 needs to be moved first to the end of the list) . . (+80)‎ hidedelete
(cur prev	topic) 15:18, 4 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (but if we move 5 first, but then when we move 3... 5 should be moved again. that means we added an extra step. condition is to use less m...) . . (+186)‎ hidedelete
(cur prev	topic) 15:12, 4 March 2019 . . Arunkumar (talk | contribs) commented on "how to exit an infinite loop in the ipython console..?" (use Ctrl+c to kill the execution.) . . (+33)‎ hidedelete
(cur prev	topic) 11:45, 4 March 2019 . . Koushik Kamalahasan (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (For the third test case with input as 5,1,3,2,7 Aren't we suppose to move the first number ('5') we come across which is greater than th...) . . (+192)‎ hidedelete
(cur prev	topic) 09:47, 4 March 2019 . . Narendra (talk | contribs) commented on "how to exit an infinite loop in the ipython console..?" (with a wrong perspective a wrote a code and it went to an infine loop. how to terminate it ..?) . . (+94)‎ hidedelete
(cur prev	topic) 09:43, 4 March 2019 . . Narendra (talk | contribs) commented on """timetuple().tm_yday"" what does this do..????" (works fine thanks a lot..!) . . (+26)‎ hidedelete
(cur prev	topic) 15:52, 3 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (no, move 3 to the end first, then 5, then 7. thats it. 3 steps.) . . (+63)‎ hidedelete
(cur prev	topic) 14:50, 3 March 2019 . . Aadillawaye (talk | contribs) commented on "Programming Assignment-2: End-Sort" (-*- coding: utf-8 -*- """ Created on Fri Mar 1 21:59:23 2019 @author: Addy Laptop """ str_input=input() input_list=[] input_list=str_i...) . . (+489)‎ hidedelete
(cur prev	topic) 14:46, 3 March 2019 . . Aadillawaye (talk | contribs) commented on "Programming Assignment-2: End-Sort" (i have shown u the output of the program above) . . (+46)‎ hidedelete
(cur prev	topic) 06:26, 3 March 2019 . . Koushik Kamalahasan (talk | contribs) commented on "Programming Assignment-2: End-Sort - Test Case 3" (Programming Assignment-2: End-Sort Due on 2019-03-07, 23:59 IST Given a list A of N distinct integer numbers, you can sort the list by...) . . (+1,661)‎ hidedelete
(cur prev	topic) 13:40, 2 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Compiler Problem" . . (+95)‎ hidedelete
(cur prev	topic) 12:50, 2 March 2019 . . HardcodeCoder (talk | contribs) commented on "Programming Assignment-2: End-Sort" (Please share your code. Without the code it is not possible to help you out.) . . (+76)‎ hidedelete
(cur prev	topic) 12:49, 2 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Compiler Problem" . . (-1)‎ hidedelete
(cur prev	topic) 12:42, 2 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Compiler Problem" . . (+20)‎ hidedelete
(cur prev	topic) 12:40, 2 March 2019 . . Arunkumar (talk | contribs) commented on "Compiler Problem" (def fact(n): if n==1 or n==0: return(1) else: return(n*fact(n-1)) n=int(input()) fact(n) A function should be calle...) . . (+235)‎ hidedelete
(cur prev	topic) 06:47, 2 March 2019 . . Sonia (talk | contribs) commented on "Compiler Problem" (You need to initially call the function Use Fact(5) Or any number to call the function) . . (+88)‎ hidedelete
(cur prev	topic) 17:44, 1 March 2019 . . Aadillawaye (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort" . . (+141)‎ hidedelete
(cur prev	topic) 17:44, 1 March 2019 . . Aadillawaye (talk | contribs) edited a comment on "Programming Assignment-2: End-Sort" . . (+13)‎ hidedelete
(cur prev	topic) 17:43, 1 March 2019 . . Aadillawaye (talk | contribs) commented on "Programming Assignment-2: End-Sort" (please check the output option of test case 3, the correct output will be 3) . . (+75)‎ hidedelete
(cur prev	topic) 17:27, 1 March 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (@AI, That is the point of sharing friend. Happy learning.) . . (+57)‎ hidedelete
(cur prev	topic) 13:58, 1 March 2019 . . AI (talk | contribs) commented on "For the assignment Power of randomness" (Thanks a lot all of you. I could grasp different approaches to achieve the same goal. Thank you.) . . (+96)‎ hidedelete
(cur prev	topic) 13:26, 1 March 2019 . . HardcodeCoder (talk | contribs) commented on "Week 4 Programming Assignment 3" (Thanks for sharing.) . . (+19)‎ hidedelete
(cur prev	topic) 08:32, 1 March 2019 . . Som (talk | contribs) edited a comment on "Week 4 Programming Assignment 3" . . (+5)‎ hidedelete
(cur prev	topic) 08:32, 1 March 2019 . . Som (talk | contribs) commented on "Week 4 Programming Assignment 3" (I have uploaded detailed explanation for this in SUPER NOTES WEEK 5. Check the link http://sccilabs.org/jocwiki/index.php/Lecture_Notes:W...) . . (+184)‎ hidedelete
(cur prev	topic) 07:26, 1 March 2019 . . Arunkumar (talk | contribs) commented on "MAGIC SQUARE" (Thank you @Som row=3 col=6 ms = [] for i in range(row): ms.append([0]*col)) . . (+90)‎ hidedelete
(cur prev	topic) 05:56, 1 March 2019 . . Som (talk | contribs) edited a comment on "MAGIC SQUARE" . . (+1)‎ hidedelete
(cur prev	topic) 05:56, 1 March 2019 . . Som (talk | contribs) commented on "MAGIC SQUARE" (Ya @Arunkumar, any dimension can be generated, an example for 3X6 below: ms = [] for i in range(3): ms.append([0]*6)) . . (+133)‎ hidedelete
(cur prev	topic) 04:32, 1 March 2019 . . Radha Krishna (talk | contribs) edited a comment on "Week 4 Programming Assignment 3" . . (+132)‎ hidedelete
(cur prev	topic) 04:28, 1 March 2019 . . Radha Krishna (talk | contribs) commented on "Week 4 Programming Assignment 3" (I was trying to execute the code given with slight modifications. I wanted to count the number of iterations performed for sorting Please...) . . (+670)‎ hidedelete
(cur prev	topic) 14:22, 28 February 2019 . . Abiramitce77 (talk | contribs) commented on "Compiler Problem" (Here is my code. It perfectly works in Jdoodle Python 3. from random import randint flag = 0 p = -1 q = -1 n = int(input()) b = [int(x)...) . . (+676)‎ hidedelete
(cur prev) 13:24, 28 February 2019 . . Harishankar (talk | contribs) edited the description . . (+232)‎ undo
(cur prev	topic) 13:06, 28 February 2019 . . Ravisankar.vangala (talk | contribs) commented on "Presentation error" (After i click on Compile & Run but in the assignment console the test cases are showing that the message passed after ignoring the presen...) . . (+210)‎ hidedelete
(cur prev	topic) 13:00, 28 February 2019 . . Ravisankar.vangala (talk | contribs) commented on "Compiler Problem" (Even if i typed the code in the assignment console as shown below: n=int(input()) def fact(n): if n==1 or n==0: return(1) else:...) . . (+194)‎ hidedelete
(cur prev	topic) 12:54, 28 February 2019 . . Ravisankar.vangala (talk | contribs) commented on "Compiler Problem" (I called the function fact() in the else part) . . (+45)‎ hidedelete
(cur prev	topic) 12:15, 28 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "Compiler Problem" . . (+1)‎ hidedelete
(cur prev	topic) 12:15, 28 February 2019 . . HardcodeCoder (talk | contribs) commented on "Compiler Problem" (Avoid copy and lasting code from spyder IDE to the the Assignment console.) . . (+74)‎ hidedelete
(cur prev	topic) 12:08, 28 February 2019 . . HardcodeCoder (talk | contribs) commented on "Presentation Error" (Thanks for sharing the link :-)) . . (+31)‎ hidedelete
(cur prev	topic) 12:07, 28 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "Compiler Problem" . . (+1)‎ hidedelete
(cur prev	topic) 12:06, 28 February 2019 . . HardcodeCoder (talk | contribs) commented on "Compiler Problem" (There is no print statement to print the output. >>> def fact(n): if n == 1 or n==0: return(1) else: return(n...) . . (+229)‎ hidedelete
(cur prev	topic) 12:06, 28 February 2019 . . HardcodeCoder (talk | contribs) deleted a comment on "Compiler Problem" (Replied to wrong person) . . (-229)‎ undelete
(cur prev	topic) 12:00, 28 February 2019 . . HardcodeCoder (talk | contribs) commented on "Compiler Problem" (There is no print statement to print the output. >>> def fact(n): if n == 1 or n==0: return(1) else: return(n...) . . (+229)‎ 
(cur prev	topic) 11:59, 28 February 2019 . . Arunkumar (talk | contribs) commented on "Presentation Error" (http://sccilabs.org/jocwiki/index.php/Common_Doubts:_FAQs_for_Week_2#Q._What_is_Presentation_Error.3F This is already answered in faqs...) . . (+162)‎ hidedelete
(cur prev	topic) 11:55, 28 February 2019 . . HardcodeCoder (talk | contribs) commented on "Presentation Error" (This mainly occurs when a blank space gets printed after the desired output of the program. Make sure your code does not print any new li...) . . (+185)‎ hidedelete
(cur prev	topic) 11:52, 28 February 2019 . . HardcodeCoder (talk | contribs) commented on "Magic Square program" (Please share your code, so that the problem can be debugged) . . (+60)‎ hidedelete
(cur prev	topic) 11:50, 28 February 2019 . . HardcodeCoder (talk | contribs) commented on "create_question()" (Yes you are correct) . . (+19)‎ hidedelete
(cur prev	topic) 11:25, 28 February 2019 . . Abh300 (talk | contribs) commented on "Presentation Error" (Dear All, After submitting week 4 assignments, i could get the required outputs but got "Successful after ignoring presentation error". A...) . . (+201)‎ hidedelete
(cur prev	topic) 10:36, 28 February 2019 . . Arunkumar (talk | contribs) commented on "Compiler Problem" (possible. Without seeing the code, we can't be sure.) . . (+52)‎ hidedelete
(cur prev	topic) 10:35, 28 February 2019 . . Arunkumar (talk | contribs) commented on "Compiler Problem" (share your code please.) . . (+23)‎ hidedelete
(cur prev	topic) 10:34, 28 February 2019 . . Arunkumar (talk | contribs) commented on "Compiler Problem" (This doesn't look like full code. or may be you didn't call the function fact()?) . . (+86)‎ hidedelete
(cur prev	topic) 10:33, 28 February 2019 . . Arunkumar (talk | contribs) commented on "Compiler Problem" (post your cod please.) . . (+21)‎ hidedelete
(cur prev) 10:32, 28 February 2019 . . Arunkumar (talk | contribs) edited the description . . (-266)‎ undo
(cur prev	topic) 06:59, 28 February 2019 . . Abiramitce77 (talk | contribs) commented on "Compiler Problem" (Time out error may be due to "Infinite Loop". Please check.) . . (+59)‎ hidedelete
(cur prev	topic) 06:58, 28 February 2019 . . Abiramitce77 (talk | contribs) commented on "Compiler Problem" (I tried the code in jdoodle Python 3, it gives the expected output for Week 4 Assignment 3 Question - randint() and sorting list. When I...) . . (+328)‎ hidedelete
(cur prev	topic) 06:48, 28 February 2019 . . Poojakaul24 (talk | contribs) commented on "Compiler Problem" (i have a query. when i am compiling and running a program it show time limit exceeded. what is that error about. when i am compiling this...) . . (+266)‎ hidedelete
(cur prev	topic) 06:48, 28 February 2019 . . Poojakaul24 (talk | contribs) commented on "Magic Square program" (i have a query. when i am compiling and running a program it show time limit exceeded. what is that error about. when i am compiling this...) . . (+266)‎ hidedelete
(cur prev) 06:47, 28 February 2019 . . Poojakaul24 (talk | contribs) edited the description . . (+266)‎ undo
(cur prev	topic) 06:39, 28 February 2019 . . Ravisankar.vangala (talk | contribs) commented on "Compiler Problem" (def fact(n): if n==1 or n==0: return(1) else: return(n*fact(n-1))) . . (+89)‎ hidedelete
(cur prev	topic) 03:42, 28 February 2019 . . Arunkumar (talk | contribs) commented on "create_question()" (Yes. he is referring to Guess the movie. Based on his question, may be he didn't understood functions topic. so, it is better to go throu...) . . (+189)‎ hidedelete
(cur prev	topic) 03:36, 28 February 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (main condition itself is to not use sort()) . . (+42)‎ hidedelete
(cur prev	topic) 02:40, 28 February 2019 . . HardcodeCoder (talk | contribs) commented on "Magic Square program" (Your welcome :-)) . . (+16)‎ hidedelete
(cur prev	topic) 02:38, 28 February 2019 . . HardcodeCoder (talk | contribs) commented on "Compiler Problem" (Can you please share your code? It's impossible to help you without the actual code) . . (+83)‎ hidedelete
(cur prev	topic) 15:05, 27 February 2019 . . Ravisankar.vangala (talk | contribs) commented on "Compiler Problem" (I wrote a piece of code for finding factorial of a number in my Spyder editor. If execute the same program in the editor given in assignm...) . . (+218)‎ hidedelete
(cur prev	topic) 15:02, 27 February 2019 . . Ravisankar.vangala (talk | contribs) commented on "Magic Square program" (Ok Thank you) . . (+12)‎ hidedelete
(cur prev	topic) 12:12, 27 February 2019 . . HardcodeCoder (talk | contribs) commented on "create_question()" (Refer to video lecture "Guess the Movie Name 05" for complete explanation.) . . (+74)‎ hidedelete
(cur prev	topic) 11:43, 27 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "Magic Square program" . . (+3)‎ hidedelete
(cur prev	topic) 11:39, 27 February 2019 . . HardcodeCoder (talk | contribs) commented on "Magic Square program" (Okay the problem lies here if(p==-1&q==n): In python we cannot use "&" symbol to denote the 'AND' logical operation (we use that in jav...) . . (+219)‎ hidedelete
(cur prev	topic) 09:30, 27 February 2019 . . Ravisankar.vangala (talk | contribs) commented on "Magic Square program" (even if i correct the indent, i am getting the same error message) . . (+65)‎ hidedelete
(cur prev	topic) 08:25, 27 February 2019 . . HardcodeCoder (talk | contribs) commented on "Magic Square program" (magic_square=[] for i in range(n): l=[] for j in range(n): l.append(0) magic_square.append(l) In your code the indent i...) . . (+258)‎ hidedelete
(cur prev	topic) 08:10, 27 February 2019 . . HardcodeCoder (talk | contribs) commented on "create_question()" (I think he is referring to the create_question() function defined in "guess the movie" game.) . . (+92)‎ hidedelete
(cur prev	topic) 08:06, 27 February 2019 . . Ravisankar.vangala (talk | contribs) commented on "Magic Square program" (I was tried the following program of magic square as explained in the video. def magic_square(n): magicSquare=[] for i in range(n...) . . (+1,129)‎ hidedelete
(cur prev	topic) 04:09, 27 February 2019 . . Prateek.vashishtha (talk | contribs) commented on "For the assignment Power of randomness" (Short & easy solution to problem from random import randint n=int(input()) x=[] for i in range(n): x.append(int(input())) y=x y.sor...) . . (+277)‎ hidedelete
(cur prev	topic) 02:45, 27 February 2019 . . Arunkumar (talk | contribs) edited a comment on "create_question()" . . (+1)‎ hidedelete
(cur prev	topic) 02:45, 27 February 2019 . . Arunkumar (talk | contribs) edited a comment on "create_question()" . . (+45)‎ hidedelete
(cur prev	topic) 02:40, 27 February 2019 . . Arunkumar (talk | contribs) commented on "create_question()" (create_question() is a function we should define it in the program.) . . (+67)‎ hidedelete
(cur prev	topic) 23:40, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+3)‎ hidedelete
(cur prev	topic) 21:23, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+56)‎ hidedelete
(cur prev	topic) 21:12, 26 February 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (Thanks for sharing! good to see different ways of achieving the same. :)) . . (+72)‎ hidedelete
(cur prev	topic) 21:11, 26 February 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (Thanks for sharing!) . . (+19)‎ hidedelete
(cur prev	topic) 21:07, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+50)‎ hidedelete
(cur prev	topic) 21:05, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+53)‎ hidedelete
(cur prev	topic) 19:15, 26 February 2019 . . C++veteran (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+10)‎ hidedelete
(cur prev	topic) 19:13, 26 February 2019 . . C++veteran (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (-2)‎ hidedelete
(cur prev	topic) 19:09, 26 February 2019 . . C++veteran (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (-24)‎ hidedelete
(cur prev	topic) 19:07, 26 February 2019 . . C++veteran (talk | contribs) commented on "For the assignment Power of randomness" (This is what i did: import random n=int(input()) if n==0: print("0",end="") list_1=[0]*n for i in range(n): list_1[i]=int(input()...) . . (+976)‎ hidedelete
(cur prev	topic) 18:14, 26 February 2019 . . Arunkumar (talk | contribs) commented on "Assignment4(Q.2)" (Yes, you are correct. Sep is used only when there are multiple variables.) . . (+73)‎ hidedelete
(cur prev	topic) 18:08, 26 February 2019 . . HardcodeCoder (talk | contribs) commented on "create_question()" (Please clarify which video lecture you are referring to.) . . (+56)‎ hidedelete
(cur prev	topic) 18:04, 26 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+2)‎ hidedelete
(cur prev	topic) 18:03, 26 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (0)‎ hidedelete
(cur prev	topic) 18:02, 26 February 2019 . . HardcodeCoder (talk | contribs) commented on "For the assignment Power of randomness" (try this, it works just fine import random as ran def check_sorted(a): min = a[0] for i in range(1, len(a)): if a[i] < mi...) . . (+674)‎ hidedelete
(cur prev	topic) 18:01, 26 February 2019 . . Harish Narayana (talk | contribs) commented on "create_question()" (can someone tell me where create_question() function is ddefined?) . . (+65)‎ hidedelete
(cur prev	topic) 17:58, 26 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "Assignment4(Q.2)" . . (+15)‎ hidedelete
(cur prev	topic) 17:57, 26 February 2019 . . HardcodeCoder (talk | contribs) commented on "Assignment4(Q.2)" (The function "sep" does not works like that in a for loop.For instance if we have a print statement like this : print('09','12','2016',...) . . (+321)‎ hidedelete
(cur prev	topic) 17:56, 26 February 2019 . . KuntalPaul (talk | contribs) edited a comment on "Assignment-4 Q.3" . . (+20)‎ hidedelete
(cur prev	topic) 17:54, 26 February 2019 . . KuntalPaul (talk | contribs) commented on "Assignment-4 Q.3" (import random list_1=[] n=int(input()) for i in range(n): x=input() list_1.append(x) for i in range(n): list_1[i]=int(list_1[i]...) . . (+355)‎ hidedelete
(cur prev	topic) 17:53, 26 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "Week 4 Assignment 3- Power of Randomness" . . (-8)‎ hidedelete
(cur prev	topic) 17:51, 26 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "Week 4 Assignment 3- Power of Randomness" . . (-79)‎ hidedelete
(cur prev	topic) 17:48, 26 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "Week 4 Assignment 3- Power of Randomness" . . (-114)‎ hidedelete
(cur prev	topic) 17:47, 26 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on "Week 4 Assignment 3- Power of Randomness" . . (+3)‎ hidedelete
