(cur prev	topic) 05:49, 10 April 2019 . . Puneet Patel (talk | contribs) commented on "Use of Pass keyword" (Thank you so much.) . . (+18)‎ hidedelete
(cur prev	topic) 08:57, 6 April 2019 . . Arunkumar (talk | contribs) edited a comment on "Use of Pass keyword" . . (+54)‎ hidedelete
(cur prev	topic) 08:55, 6 April 2019 . . Arunkumar (talk | contribs) edited a comment on "Use of Pass keyword" . . (+13)‎ hidedelete
(cur prev	topic) 08:54, 6 April 2019 . . Arunkumar (talk | contribs) commented on "Use of Pass keyword" (pass is used to just pass. it is to skip a mandatory statement. for example: if True: print("You are correct!") else: pass in...) . . (+1,599)‎ hidedelete
(cur prev	topic) 08:01, 6 April 2019 . . Aadillawaye (talk | contribs) commented on "please review question no. 5 (What is Stylometry?)" (please review question no. 5 (What is Stylometry?)) . . (+50)‎ hidedelete
(cur prev	topic) 06:49, 6 April 2019 . . Singhn 2 (talk | contribs) commented on "Quizz 9 question 5" (Exactly;I also got it wrong.) . . (+28)‎ hidedelete
(cur prev	topic) 11:06, 5 April 2019 . . Kamalakar (talk | contribs) commented on "Use of Pass keyword" (Kindly type in youtube search bar break pass continue python. you will see many beautiful videos there of 5 to ten minutes duration.) . . (+132)‎ hidedelete
(cur prev	topic) 08:05, 5 April 2019 . . Som (talk | contribs) marked the topic "Assignment 9 ques 4" as resolved (marked as resolved) . . (0)‎ reopen delete
(cur prev	topic) 08:05, 5 April 2019 . . Som (talk | contribs) edited a comment on "Assignment 9 ques 4" . . (-24)‎ delete
(cur prev	topic) 08:04, 5 April 2019 . . Som (talk | contribs) edited a comment on "Assignment 9 ques 4" . . (-13)‎ delete
(cur prev	topic) 08:04, 5 April 2019 . . Som (talk | contribs) commented on "Assignment 9 ques 4" (@Atulgnit Yes, thats a mistake it should be imread, I was explaining you the concept, if you had noted that its read there, then how c...) . . (+340)‎ delete
(cur prev	topic) 05:16, 5 April 2019 . . Tinu Iype Jacob (talk | contribs) commented on "Quizz 9 question 5" (Hi, Stylometry is the quantitative study of literary style through computational distant reading methods. I have answered the correct opi...) . . (+163)‎ hidedelete
(cur prev	topic) 03:08, 5 April 2019 . . Kamalakar (talk | contribs) commented on "EXAM PATTERN" (yes it is very hard to remember what is specific command used in such specific process. we can remember commands of lists tupples sets, d...) . . (+261)‎ hidedelete
(cur prev	topic) 03:05, 5 April 2019 . . Kamalakar (talk | contribs) commented on "EXAM PATTERN" (When the output of a process is qualitative, the answers will be adjective like high low or medium. When it is quantitative the output wi...) . . (+234)‎ hidedelete
(cur prev	topic) 15:34, 4 April 2019 . . Snehashish (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (The given answer for Q.5. seems to be incorrect. Please re-evaluate it.) . . (+71)‎ hidedelete
(cur prev	topic) 14:21, 4 April 2019 . . Yash shende (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (please re-evaluate the answer of question 5 week 9 quiz) . . (+55)‎ hidedelete
(cur prev	topic) 14:20, 4 April 2019 . . Yash shende (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (please re-evaluate the answer of question 5 week 9 quiz) . . (+55)‎ hidedelete
(cur prev	topic) 13:41, 4 April 2019 . . Harinder (talk | contribs) commented on "EXAM PATTERN" (You mean the libraries used or methods, etc?) . . (+44)‎ hidedelete
(cur prev	topic) 13:18, 4 April 2019 . . Dhananjay giri (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (Yes bro, you are right. Wrong answer is given by npyel on this question no. 5 of week 9.) . . (+88)‎ hidedelete
(cur prev	topic) 12:22, 4 April 2019 . . Madhavi1 (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (Stylometry is the quantitative study of literary style through computational distant reading methods. It is based on the observation that...) . . (+246)‎ hidedelete
(cur prev	topic) 11:35, 4 April 2019 . . Madhavi1 (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (Please conform 5th answer in week-9 quiz) . . (+40)‎ hidedelete
(cur prev	topic) 09:11, 4 April 2019 . . AI (talk | contribs) commented on "assignment 2 of week 9" (@Yash shende I did not about this library. Will try this method. Thanks for the help.) . . (+85)‎ hidedelete
(cur prev	topic) 08:46, 4 April 2019 . . Rambahadur (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (Quantitative study should be correct. It should be re-evaluated.) . . (+64)‎ hidedelete
(cur prev	topic) 08:02, 4 April 2019 . . Atulgnit (talk | contribs) commented on "Assignment 9 ques 4" (@som in question scipy.misc.read() is given and read() method is not abailable in scipy.misc, how anyone can change the syntax of quest...) . . (+384)‎ delete
(cur prev	topic) 06:44, 4 April 2019 . . Yash shende (talk | contribs) edited a comment on "assignment 2 of week 9" . . (-39)‎ hidedelete
(cur prev	topic) 06:43, 4 April 2019 . . Yash shende (talk | contribs) commented on "assignment 2 of week 9" (i used Regular expression to solve this problem import re S=input() a=re.findall('\d+',S) """ 1) Function findall() finds *all* the...) . . (+429)‎ hidedelete
(cur prev	topic) 05:57, 4 April 2019 . . Venkata Swathi R (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (quantitative study is correct for stylometry right?) . . (+51)‎ hidedelete
(cur prev	topic) 05:38, 4 April 2019 . . Shailaja (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (Yes. the answer need to be re-evaluted) . . (+38)‎ hidedelete
(cur prev	topic) 05:26, 4 April 2019 . . Meera Doshi (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (Yes, As stylometry is quantitative study of literary style, this question need to be re-evaluated.) . . (+98)‎ hidedelete
(cur prev	topic) 04:34, 4 April 2019 . . Som (talk | contribs) edited a comment on "Assignment 9 ques 4" . . (+2)‎ delete
(cur prev	topic) 04:34, 4 April 2019 . . Som (talk | contribs) commented on "Assignment 9 ques 4" (It is asked what will it return? So, you can check it on your own system. x = scipy.misc.read('any_image.png') Then check the type of...) . . (+231)‎ delete
(cur prev	topic) 04:31, 4 April 2019 . . Som (talk | contribs) edited a comment on "Assignment 9 Question 6" . . (+1)‎ hidedelete
(cur prev	topic) 04:30, 4 April 2019 . . Som (talk | contribs) commented on "Assignment 9 Question 6" (No, Tokenisation can be done by splitting into words as well as sentences Google it.) . . (+88)‎ hidedelete
(cur prev	topic) 04:27, 4 April 2019 . . Subhamohan (talk | contribs) commented on "Assignment 9 ques 4" (An image is a numpy array, which is a matrix of RGB values of pixels corresponding to the image. So all options are correct.) . . (+124)‎ delete
(cur prev	topic) 04:12, 4 April 2019 . . Puneet Patel (talk | contribs) commented on "Use of Pass keyword" (Can any one tell me about use of 'pass' keyword in loops. I was trying the assignments of Panagram and Vowels using 'continue'. How pass...) . . (+172)‎ hidedelete
(cur prev	topic) 04:11, 4 April 2019 . . Saumendu (talk | contribs) commented on "Assignment 9 Question 6" (Which of the following statements is correct about tokenisation in Python? According to above question, answer should be "Tokenisation i...) . . (+176)‎ hidedelete
(cur prev	topic) 04:06, 4 April 2019 . . Puneet Patel (talk | contribs) commented on "Assignment 9 ques 4" (I feel that meaning of first three option is same.The matrix of RGB values is nothing but an image. Am i right?) . . (+111)‎ delete
(cur prev	topic) 04:02, 4 April 2019 . . Puneet Patel (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" ("stylometry is quantitative study of literary style." It is also stated in the super notes of week 9. Please clarify the correct answer.) . . (+137)‎ hidedelete
(cur prev	topic) 03:55, 4 April 2019 . . Subhamohan (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (As stylometry is quantitative study of literary style, this question need to be re-evaluated.) . . (+93)‎ hidedelete
(cur prev	topic) 03:50, 4 April 2019 . . Subhamohan (talk | contribs) commented on "Assignment 9 ques 4" (Instead of imread in the question read was mentioned. As there is a mistake in the question, the nptel team should give marks for all wh...) . . (+181)‎ delete
(cur prev	topic) 03:36, 4 April 2019 . . Kamalakar (talk | contribs) commented on "EXAM PATTERN" (Are there questions on commands from python what command is used in speech_Recognition, image processing, stylometry etc.) . . (+121)‎ hidedelete
(cur prev	topic) 02:44, 4 April 2019 . . Raghav (talk | contribs) commented on "Quiz Doubt in Accepted Answers" (Please write G.nodes() in console and verify what it is returning, not after using print statement and check the documentation as well) . . (+134)‎ hidedelete
(cur prev	topic) 02:40, 4 April 2019 . . Atulgnit (talk | contribs) commented on "Quiz Doubt in Accepted Answers" (It return a list of node) . . (+24)‎ hidedelete
(cur prev	topic) 02:30, 4 April 2019 . . Harinder (talk | contribs) commented on "EXAM PATTERN" (No, I believe there were only single answer questions.) . . (+54)‎ hidedelete
(cur prev	topic) 02:28, 4 April 2019 . . Atulgnit (talk | contribs) commented on "Assignment 9 ques 4" (There is no method read() in scipy.misc when i use this in anaconda spyder. And in video lecture tell that scipy.misc.read() return rgb v...) . . (+161)‎ delete
(cur prev	topic) 02:25, 4 April 2019 . . Atulgnit (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (Yes same issue answer should be quantitative study) . . (+50)‎ hidedelete
(cur prev	topic) 01:00, 4 April 2019 . . Praveen897 (talk | contribs) commented on "Regarding Q5 in week-9 Quiz" (Q5) what is Stylometry? Is the answer given by them is correct! This is what i observed, when i searched on internet. This is the same...) . . (+396)‎ hidedelete
(cur prev	topic) 21:33, 3 April 2019 . . Kamalakar (talk | contribs) commented on "Quiz Doubt in Accepted Answers" (I just checked in the video and in spyder. it is showing it as list only. ie what they also have selected. i dont know where you getting...) . . (+151)‎ hidedelete
(cur prev	topic) 21:32, 3 April 2019 . . Kamalakar (talk | contribs) deleted the topic "Quiz Question 5. What is stylometry" (Posted in Week 10 again) . . (-35)‎ undelete
(cur prev	topic) 21:14, 3 April 2019 . . Kamalakar (talk | contribs) changed the topic title from "Question 5. What is stylometry" to "Quiz Question 5. What is stylometry" . . (+5)‎ 
(cur prev	topic) 21:05, 3 April 2019 . . Kamalakar (talk | contribs) commented on "EXAM PATTERN" (Harinder, In Multiple Choice questions do we have more than one answer questions?) . . (+81)‎ hidedelete
(cur prev	topic) 17:54, 3 April 2019 . . Raghav (talk | contribs) commented on "Quiz Doubt in Accepted Answers" (Q.3 What does the function G.nodes() in networkx return? It returns the number of nodes present in the graph G. It returns the list of...) . . (+476)‎ hidedelete
(cur prev	topic) 15:48, 3 April 2019 . . Harinder (talk | contribs) commented on "EXAM PATTERN" (No I am not TA. I gave the exam last time. I said so based on my analysis of the exam.) . . (+86)‎ hidedelete
(cur prev	topic) 13:59, 3 April 2019 . . C++veteran (talk | contribs) commented on "EXAM PATTERN" (I've read on quora that exam will be based on the questions in videos lectures and notes. There's could be 3 sections and 1 marks and 2 m...) . . (+266)‎ hidedelete
(cur prev	topic) 10:25, 3 April 2019 . . Kamalakar (talk | contribs) commented on "EXAM PATTERN" (@Harinder Who are you.Are you the TA for this course.) . . (+53)‎ hidedelete
(cur prev	topic) 08:10, 3 April 2019 . . AI (talk | contribs) commented on "assignment 2 of week 9" (Hello @Neelima. I had also replaced characters with * but was not successful in the next part. Finally your hint helped me in getting the...) . . (+205)‎ hidedelete
(cur prev	topic) 04:54, 3 April 2019 . . Mnikitha24 (talk | contribs) commented on "EXAM PATTERN" (How many MCQs do we get in the exam? What is the exact pattern of the exam?) . . (+75)‎ hidedelete
(cur prev	topic) 03:01, 3 April 2019 . . Harinder (talk | contribs) commented on "EXAM PATTERN" (The exam is totally mcq based. You should focus on the problems or the cool ideas first taught in videos then programming.) . . (+122)‎ hidedelete
(cur prev	topic) 17:55, 2 April 2019 . . Keshav bansal (talk | contribs) commented on "Week 09 : downloading stylometry data" (FOR SIX DEGREE OF SEPARATION WHERE IS THE DATA LINK?) . . (+53)‎ hidedelete
(cur prev	topic) 17:54, 2 April 2019 . . Keshav bansal (talk | contribs) commented on "EXAM PATTERN" (any pattern of exam with details to get good marks?) . . (+51)‎ hidedelete
(cur prev	topic) 11:19, 2 April 2019 . . C++veteran (talk | contribs) commented on "assignment 2 of week 9" (That's deep (°_°)) . . (+17)‎ hidedelete
(cur prev	topic) 23:30, 1 April 2019 . . Kamalakar (talk | contribs) commented on "assignment 2 of week 9" (Generally they say 12/2=6. Mathematics have only one solution. But in day to day life, for a problem if we try we will find out different...) . . (+250)‎ hidedelete
(cur prev	topic) 19:21, 1 April 2019 . . Marysubaja (talk | contribs) commented on "Assignment 9" (Yes it should be imread()) . . (+25)‎ hidedelete
(cur prev	topic) 17:55, 1 April 2019 . . C++veteran (talk | contribs) commented on "assignment 2 of week 9" (i'v managed to do it in O(n) complexity. i just added space between every consecutive alpha and numbers (eg: 'rt43qw' becomes 'rt 43 qw')...) . . (+216)‎ hidedelete
(cur prev	topic) 16:03, 1 April 2019 . . Kamalakar (talk | contribs) commented on "HINTS FOR WEEK 9 PROGRAMMING ASIGNMENTS." (u can try this with split command) . . (+33)‎ hidedelete
(cur prev	topic) 14:53, 1 April 2019 . . Sayantoni Chaudhuri (talk | contribs) commented on "networkx: installing gephi" (Hey! Thanks! Turns out, I had JDK 1.8 for 32bit. I removed it and installed JDK 1.8 for 64bit and it is working fine now!) . . (+121)‎ hidedelete
(cur prev	topic) 14:29, 1 April 2019 . . Kamalakar (talk | contribs) commented on "assignment 2 of week 9" (check if the character is a number or alphabet. if number there will be two are three numbers start a loop. Before the start of the loop...) . . (+226)‎ hidedelete
(cur prev	topic) 14:23, 1 April 2019 . . Kamalakar (talk | contribs) commented on "I haven't registered for the exam. Registration was over. How can I register now?" (Write an email to Noc Nptel <noc@nptel.iitm.ac.in and check if they can help you.) . . (+81)‎ hidedelete
(cur prev	topic) 12:38, 1 April 2019 . . Neelima (talk | contribs) edited a comment on "assignment 2 of week 9" . . (+6)‎ hidedelete
(cur prev	topic) 12:36, 1 April 2019 . . Neelima (talk | contribs) commented on "assignment 2 of week 9" (I did it in a non optimized way but it worked for me (100/100). Here, 1) I replaced all aplhabets with "*" 2) Split the string using "*"...) . . (+287)‎ hidedelete
(cur prev	topic) 12:30, 1 April 2019 . . Neelima (talk | contribs) commented on "I haven't registered for the exam. Registration was over. How can I register now?" (I have to write this exam as it is one of the subject for cse 3rd year student. I haven't registered and registration date was over. what...) . . (+224)‎ hidedelete
(cur prev	topic) 08:57, 1 April 2019 . . AI (talk | contribs) commented on "use of f' in this command print(f'ASCII Value for {i} is {ord(i)}')" (It is the formatting method of getting the work done) . . (+52)‎ hidedelete
(cur prev	topic) 08:38, 1 April 2019 . . AI (talk | contribs) commented on "assignment 2 of week 9" (Hello all! Can anybody give a hint for assignment 2 in week 9. I have converted the string into numbers only, then used the reverse sort....) . . (+286)‎ hidedelete
(cur prev	topic) 02:48, 1 April 2019 . . Som (talk | contribs) edited a comment on "HINTS FOR WEEK 9 PROGRAMMING ASIGNMENTS." . . (+47)‎ hidedelete
(cur prev	topic) 17:57, 31 March 2019 . . Som (talk | contribs) edited a comment on "HINTS FOR WEEK 9 PROGRAMMING ASIGNMENTS." . . (+218)‎ hidedelete
(cur prev	topic) 17:57, 31 March 2019 . . Som (talk | contribs) commented on "HINTS FOR WEEK 9 PROGRAMMING ASIGNMENTS." (Assignment 3: Finding Company Name out of a given email: First store the input email address in a varible. Iterate through the variabl...) . . (+200)‎ hidedelete
(cur prev	topic) 12:57, 31 March 2019 . . Som (talk | contribs) edited a comment on "any easier way to solve programming assignment 1 ... week 9" . . (+1)‎ hidedelete
(cur prev	topic) 12:57, 31 March 2019 . . Som (talk | contribs) commented on "any easier way to solve programming assignment 1 ... week 9" (Use four loops and one big loop which contains all these four loops. One loop goes down, another right, another up and finally last one g...) . . (+148)‎ hidedelete
(cur prev	topic) 12:06, 31 March 2019 . . Jaiprince17 (talk | contribs) commented on "any easier way to solve programming assignment 1 ... week 9" (wow thank you bro :)) . . (+20)‎ hidedelete
(cur prev	topic) 10:22, 31 March 2019 . . Nizar.ua (talk | contribs) edited a comment on "networkx: installing gephi" . . (+1)‎ hidedelete
(cur prev	topic) 10:21, 31 March 2019 . . Nizar.ua (talk | contribs) edited a comment on "networkx: installing gephi" . . (0)‎ hidedelete
(cur prev	topic) 10:21, 31 March 2019 . . Nizar.ua (talk | contribs) edited a comment on "networkx: installing gephi" . . (+2)‎ hidedelete
(cur prev	topic) 10:20, 31 March 2019 . . Nizar.ua (talk | contribs) commented on "networkx: installing gephi" (Please check gephi.conf file in C:\Program Files\Gephi-0.9.2\etc You may edit this file to point jdkhome path to JRE folder. Remove # in...) . . (+287)‎ hidedelete
(cur prev	topic) 09:35, 31 March 2019 . . Kamalakar (talk | contribs) edited a comment on "any easier way to solve programming assignment 1 ... week 9" . . (0)‎ hidedelete
(cur prev	topic) 07:53, 31 March 2019 . . Kamalakar (talk | contribs) commented on "any easier way to solve programming assignment 1 ... week 9" (Play with the code shown in week 8 for drawing a spiral 7. it is just using for one high level for loop and four 2nd level for loops by c...) . . (+271)‎ hidedelete
(cur prev	topic) 05:28, 31 March 2019 . . Jaiprince17 (talk | contribs) commented on "any easier way to solve programming assignment 1 ... week 9" (D :D :D) . . (+8)‎ hidedelete
(cur prev	topic) 03:13, 31 March 2019 . . Jaiprince17 (talk | contribs) deleted the topic "in week 9 assignment 1 question" (fgdg) . . (-31)‎ undelete
(cur prev	topic) 16:38, 29 March 2019 . . Raghav (talk | contribs) commented on "Week 09 : downloading stylometry data" (https://github.com/programminghistorian/ph-submissions/blob/gh-pages/assets/introduction-to-stylometry-with-python/stylometry-federalist.zip) . . (+140)‎ hidedelete
(cur prev	topic) 12:56, 29 March 2019 . . Kamalakar (talk | contribs) commented on "How to post a picture in JOCWIKI and ask a doubt." (If i have to post a picture and ask doubt how to post a picture here.) . . (+69)‎ hidedelete
(cur prev) 11:48, 29 March 2019 . . Arunkumar (talk | contribs) created the description . . (+3,699)‎ 
(cur prev	topic) 08:02, 29 March 2019 . . Dharmesh.enc (talk | contribs) edited a comment on "Please explain syntax used, specially of first occurrence of 'f' in open(f'..)" . . (+5)‎ hidedelete
(cur prev	topic) 08:01, 29 March 2019 . . Dharmesh.enc (talk | contribs) commented on "Please explain syntax used, specially of first occurrence of 'f' in open(f'..)" (Please explain syntax used, specially of first occurrence of 'f' in open(f'..) def read_files(filenames): strings=[] for file i...) . . (+297)‎ hidedelete
(cur prev	topic) 07:55, 29 March 2019 . . Dharmesh.enc (talk | contribs) commented on "Project Gutenberg" (https://raw.githubusercontent.com/programminghistorian/ph-submissions/gh-pages/assets/introduction-to-stylometry-with-python/stylometry-f...) . . (+150)‎ hidedelete
(cur prev	topic) 04:36, 29 March 2019 . . Sayantoni Chaudhuri (talk | contribs) commented on "networkx: installing gephi" (I have java 1.8(updated) but still some error is being displayed by Gephi that I need java 1.8 to run gephi. Any help please?) . . (+125)‎ hidedelete
(cur prev	topic) 04:11, 29 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Simple Program for finding panagrams in Week 8." . . (0)‎ hidedelete
(cur prev	topic) 02:39, 29 March 2019 . . Kamalakar (talk | contribs) commented on "Simple Program for finding panagrams in Week 8." (Interestingly the following 5 lines passed all the private cases but failed in just one public case s=input() s-set(s) if len(s) >25...) . . (+191)‎ hidedelete
(cur prev	topic) 00:16, 29 March 2019 . . Kamalakar (talk | contribs) commented on "Simple Program for finding panagrams in Week 8." (s=input() s=s.lower() s=set(s) alpha=[chr(x) for x in range(97,123)] common=s & set(alpha) if len(common) >25 : print("YES...) . . (+177)‎ hidedelete
(cur prev	topic) 11:08, 28 March 2019 . . Kenny (talk | contribs) commented on "What is the equivalent code for the following For loop" (for token in tokens: if any(c.isalpha()): for c in token: a.append(token)) . . (+89)‎ hidedelete
(cur prev	topic) 10:24, 28 March 2019 . . Sumitkrsharma01 (talk | contribs) commented on "use of f' in this command print(f'ASCII Value for {i} is {ord(i)}')" (why we have used f' here ? (f'ASCII Value for {i} is {ord(i)}') We can print this directly as well) . . (+99)‎ hidedelete
(cur prev	topic) 07:09, 28 March 2019 . . Sanjana mkhrj (talk | contribs) marked the topic "Question 6: Quiz Week 8" as resolved (marked as resolved) . . (0)‎ reopen delete
(cur prev	topic) 05:55, 28 March 2019 . . Sumitkrsharma01 (talk | contribs) commented on "nltk download" (Sir, I am not able to download nltk libraries by the command in ipython console. please help) . . (+93)‎ hidedelete
(cur prev	topic) 05:36, 28 March 2019 . . Sumitkrsharma01 (talk | contribs) commented on "Project Gutenberg" (hi can you please share the link. I am not getting that) . . (+55)‎ hidedelete
(cur prev	topic) 05:30, 28 March 2019 . . Sumitkrsharma01 (talk | contribs) commented on "Week 09 : downloading stylometry data" (Dear sir, I am not able to download the data for stylometry programming. please share the link. Thanks) . . (+104)‎ hidedelete
(cur prev	topic) 01:20, 28 March 2019 . . GUNASEELAN.Nallamuthu (talk | contribs) commented on "Question 6: Quiz Week 8" (Yes answer should be identity matrix) . . (+36)‎ delete
(cur prev	topic) 00:55, 28 March 2019 . . Parveen (talk | contribs) commented on "Question 6: Quiz Week 8" (Yes answer should be identity matrix only, because only square zero matrix transpose will be equal to itself. If it's non square then not...) . . (+157)‎ delete
(cur prev	topic) 18:25, 27 March 2019 . . Divya98 (talk | contribs) commented on "Question 6: Quiz Week 8" (Yaa the answer should be identity matrix only because on transpose of n×m zero matrix we get m×n zero matrix which is not same) . . (+127)‎ delete
(cur prev	topic) 18:03, 27 March 2019 . . Sanjana mkhrj (talk | contribs) commented on "Question 6: Quiz Week 8" (Yaa, the transpose of a zero matrix is not necessarily the same as before. Since zero matrix can be a rectangular matrix and transpose of...) . . (+202)‎ delete
(cur prev	topic) 18:02, 27 March 2019 . . Debasmita (talk | contribs) commented on "Question 6: Quiz Week 8" (I agree, both zero matrix and it's transpose are zero matrices, but not necessarily equal. I too feel answer should be only identity matrix.) . . (+140)‎ delete
(cur prev	topic) 18:00, 27 March 2019 . . Vivekananda (talk | contribs) commented on "Question 6: Quiz Week 8" (Yes.....I too have this same doubt...Zero matrix not necessarily be a Square matrix.... Ao i think answer is Option A....) . . (+121)‎ delete
(cur prev	topic) 17:56, 27 March 2019 . . Som (talk | contribs) edited a comment on "Question 6: Quiz Week 8" . . (0)‎ delete
(cur prev	topic) 17:55, 27 March 2019 . . Som (talk | contribs) commented on "Question 6: Quiz Week 8" (@Simarn Maam and @Descentis Sir, Since Zero Matrix is not necessarily a square matirx, there could be a 2X4 zero matrix whose transpose w...) . . (+262)‎ delete
(cur prev	topic) 08:49, 27 March 2019 . . Kamalakar (talk | contribs) commented on "Area Calculation Lecture 3" (Thanks a lot for explaining.) . . (+28)‎ hidedelete
(cur prev	topic) 08:35, 27 March 2019 . . AI (talk | contribs) commented on "Area Calculation Lecture 3" (array1[:,:100]=[255,128,0] The first argument is for height.[:] indicates the entire height from beginning to end.Second argument for hei...) . . (+423)‎ hidedelete
(cur prev	topic) 04:39, 27 March 2019 . . AI (talk | contribs) commented on "Project Gutenberg" (Got the link. it is in the next lecture.) . . (+40)‎ hidedelete
(cur prev	topic) 04:35, 27 March 2019 . . AI (talk | contribs) commented on "Project Gutenberg" (can anybody tell me where is the link to download the 85 zipped files from project gutenberg?) . . (+93)‎ hidedelete
(cur prev	topic) 14:41, 26 March 2019 . . Kamalakar (talk | contribs) commented on "Calculation of area of punjab in video 5" (It is shown in the video area of punjab as Area of punjab=(count_pun/count_in)*32867263 The formula to be used is = (count_pun/(count_pu...) . . (+307)‎ hidedelete
(cur prev	topic) 14:25, 26 March 2019 . . Kamalakar (talk | contribs) commented on "Area Calculation Lecture 3" (array1[:,:100]=[255,128,0] array1[:,100:]=[255,128,0] what does the :,:100 and :,100:100 indicate.) . . (+101)‎ hidedelete
(cur prev	topic) 08:35, 26 March 2019 . . Shitalp (talk | contribs) commented on "Assignment 9" (Q.4)What does the function scipy.misc.read() return? I think above question is wrong. Since scipy.misc don't have any read() method. It s...) . . (+155)‎ hidedelete
(cur prev	topic) 07:55, 26 March 2019 . . Shitalp (talk | contribs) commented on "Area Calculation - Don't Measure" (Can anyone please tell me where to find "map-01.png" file required in area calculation program) . . (+94)‎ hidedelete
(cur prev	topic) 07:38, 26 March 2019 . . Meda harsha (talk | contribs) deleted the topic "regarding stylometry program week9" (i found the error myself its wrong in the video given) . . (-34)‎ undelete
(cur prev	topic) 06:44, 26 March 2019 . . Kamalakar (talk | contribs) commented on "What is the equivalent code for the following For loop" (how do we understand when such codes are written) . . (+48)‎ hidedelete
(cur prev	topic) 06:44, 26 March 2019 . . Kamalakar (talk | contribs) commented on "What is the equivalent code for the following For loop" (Hi all what is the equivalent code in simplest for for the following code a=[token for token in tokens if any(c.isalpha() for c in toke...) . . (+291)‎ hidedelete
