(cur prev) 00:03, 10 April 2019 . . Arunkumar (talk | contribs) edited the description . . (+883)‎ undo
(cur prev	topic) 10:57, 20 March 2019 . . Arunkumar (talk | contribs) commented on "Request! please explain Symmetric matrix" (Try to go through resolved discussions here. Binary Assignment http://sccilabs.org/jocwiki/index.php/Topic:Uvz41t32t53hc8ro Symmetric m...) . . (+317)‎ hidedelete
(cur prev	topic) 10:54, 20 March 2019 . . Arunkumar (talk | contribs) commented on "Request! please explain Symmetric matrix" (go though this post and see if you can understand or not http://sccilabs.org/jocwiki/index.php/Topic:Uvvjwtvwk94qiuec) . . (+120)‎ hidedelete
(cur prev	topic) 10:53, 20 March 2019 . . Kamalakar (talk | contribs) commented on "Request! please explain Symmetric matrix" (Yes. What you said is correct.) . . (+30)‎ hidedelete
(cur prev	topic) 10:53, 20 March 2019 . . Kamalakar (talk | contribs) commented on "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" (if they have not used the word minimum, then cannot say will be the answer. since they have used minimum for me both answers are appealin...) . . (+188)‎ hidedelete
(cur prev	topic) 10:50, 20 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (ok. I could see the map in my file also. For some reason, it zoomed the portion many a times. I reduced zoom by pressing "-" so many tine...) . . (+236)‎ hidedelete
(cur prev	topic) 09:23, 20 March 2019 . . Rishi (talk | contribs) commented on "Request! please explain Symmetric matrix" (is it matrix A= matrix A transpose or there is some other meaning?) . . (+66)‎ hidedelete
(cur prev	topic) 08:46, 20 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (Sir, i emailed it to you. Kindly check it) . . (+41)‎ hidedelete
(cur prev	topic) 08:10, 20 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" . . (+60)‎ hidedelete
(cur prev	topic) 08:09, 20 March 2019 . . Kamalakar (talk | contribs) changed the topic title from "Quiz Question: Minimum number of Moves required in Snake and ladders" to "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" . . (+37)‎ resolve hidedelete
(cur prev	topic) 08:07, 20 March 2019 . . Kamalakar (talk | contribs) commented on "Quiz Question: What is the minimum number of dice throws required to reach 100 in Snakes and Ladders game" (What will be the answer for this question.) . . (+42)‎ hidedelete
(cur prev	topic) 07:44, 20 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (kindly email me a snap shot picture jpg of how it looks) . . (+55)‎ hidedelete
(cur prev	topic) 06:07, 20 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (Yes sir i am able to see the map.But while seeying the code which u send me i thought may be the path location of your pc will not work i...) . . (+144)‎ hidedelete
(cur prev	topic) 05:41, 20 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (@Kirpan , were you able to see the map. I didnot understand your comment regarding path location. I am not able to see the map. is there...) . . (+205)‎ hidedelete
(cur prev	topic) 05:36, 20 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (Yes sir, i found it.Opening this file is leading to a google map.Sir i hope marker's image which has a path location according to your pc...) . . (+185)‎ hidedelete
(cur prev	topic) 05:36, 20 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (sir pip install gmplot is not working. I have tried it already. Giving SSL error.) . . (+81)‎ hidedelete
(cur prev	topic) 05:07, 20 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (@Kripan emails from JOCWIKI are going to SPAM folder. Kindly check your spam folder) . . (+84)‎ hidedelete
(cur prev	topic) 04:53, 20 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (Since i have sent it through JOCWIKI, it comes to the email using which you have registered for NPTEL or Jocwiki. Check your spam folder...) . . (+160)‎ hidedelete
(cur prev	topic) 04:31, 20 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (Sir,i have not received any mail yet. sir, at which email id did you send it?) . . (+77)‎ hidedelete
(cur prev	topic) 15:08, 19 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (@Lakshmi, Keep doing dry runs by inserting Print statement after every line of code to see what is happening with your code.) . . (+124)‎ hidedelete
(cur prev	topic) 15:04, 19 March 2019 . . Kamalakar (talk | contribs) commented on "program assignment 3:binary matrix" (instead of Not equal to you , we could have also written it as if(a[i][j]==0 or a[i][j]==1): pass else: f=1 You problem has brought...) . . (+230)‎ hidedelete
(cur prev	topic) 12:24, 19 March 2019 . . Arunkumar (talk | contribs) commented on "program assignment 3:binary matrix" (Sorry, Powercut season started in my place. Is your problem solved?) . . (+67)‎ hidedelete
(cur prev	topic) 12:23, 19 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (@Lakshmi, You are welcome. :)) . . (+35)‎ hidedelete
(cur prev	topic) 12:18, 19 March 2019 . . Kamalakar (talk | contribs) edited a comment on "program assignment 3:binary matrix" . . (0)‎ hidedelete
(cur prev	topic) 12:05, 19 March 2019 . . Harish Narayana (talk | contribs) commented on "program assignment 3:binary matrix" (Thanks a lot sir) . . (+16)‎ hidedelete
(cur prev	topic) 12:04, 19 March 2019 . . Harish Narayana (talk | contribs) commented on "program assignment 3:binary matrix" (Thanks a lot kamalakar) . . (+22)‎ hidedelete
(cur prev	topic) 09:57, 19 March 2019 . . Kamalakar (talk | contribs) edited a comment on "program assignment 3:binary matrix" . . (+31)‎ hidedelete
(cur prev	topic) 09:55, 19 March 2019 . . Kamalakar (talk | contribs) commented on "program assignment 3:binary matrix" (since you said a[i][j] !=0 or a[i][j] not equal to 1 , it is always going to NO only. even if it is binary with only 0 or 1's if it a[i]...) . . (+366)‎ hidedelete
(cur prev	topic) 09:48, 19 March 2019 . . Kamalakar (talk | contribs) deleted a comment on "program assignment 3:binary matrix" (providing better explanation) . . (-117)‎ undelete
(cur prev	topic) 09:36, 19 March 2019 . . Kamalakar (talk | contribs) commented on "program assignment 3:binary matrix" (why are you using the same variable 'i' in both the first and second for loops. second one should be j if i am right.) . . (+117)‎ 
(cur prev	topic) 09:26, 19 March 2019 . . Kamalakar (talk | contribs) commented on "unable to import numpy module in the editor given in Assignment" (if it is for matrix, you may also try import array) . . (+50)‎ hidedelete
(cur prev	topic) 09:09, 19 March 2019 . . Lakshmi (talk | contribs) commented on "Binary Matrix" (Thanks Arun I got passed in all test cases.) . . (+43)‎ hidedelete
(cur prev	topic) 06:29, 19 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+7)‎ hidedelete
(cur prev	topic) 06:25, 19 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (sorry dont go into python go to command prompt dos window and type there itself pip install python do not start python...) . . (+121)‎ hidedelete
(cur prev	topic) 06:22, 19 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (@ i emailed you what gmplot has generated to me. Copy into note pad and save it as map.html and open the htmp file not as map.html.txt .) . . (+136)‎ hidedelete
(cur prev	topic) 06:22, 19 March 2019 . . Ravisankar.vangala (talk | contribs) commented on "unable to import numpy module in the editor given in Assignment" (I am unable to import numpy module in the editor given in assignment. Please help me) . . (+84)‎ hidedelete
(cur prev	topic) 06:18, 19 March 2019 . . Kamalakar (talk | contribs) commented on "GPS Map error" (I am not seeing any map. there.) . . (+31)‎ hidedelete
(cur prev	topic) 03:10, 19 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (sir by following what u said.It is showing "Syntax error:Invalid syntax") . . (+72)‎ hidedelete
(cur prev	topic) 18:43, 18 March 2019 . . Harish Narayana (talk | contribs) commented on "program assignment 3:binary matrix" (CAN YOU PLEASE LOOK INTO IT AGAIN?) . . (+34)‎ hidedelete
(cur prev	topic) 18:38, 18 March 2019 . . Harish Narayana (talk | contribs) commented on "program assignment 3:binary matrix" (NO BRO GETTING THE SAME O/P EVEN AFTER CHANGING) . . (+47)‎ hidedelete
(cur prev	topic) 18:28, 18 March 2019 . . Arunkumar (talk | contribs) commented on "program assignment 3:binary matrix" (please change your input part to this and try n,m=map(int,input().split()) a=[[m for m in list(map(int,input().split()))] for r in rang...) . . (+154)‎ hidedelete
(cur prev	topic) 18:25, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-3: Binary Matrix" (can you please replace your input part to this. it looks like all 0s and 1s are taken as strings. row,col=map(int,input().split()) matri...) . . (+368)‎ hidedelete
(cur prev	topic) 18:11, 18 March 2019 . . Harish Narayana (talk | contribs) edited a comment on "program assignment 3:binary matrix" . . (+5)‎ hidedelete
(cur prev	topic) 18:10, 18 March 2019 . . Harish Narayana (talk | contribs) edited a comment on "program assignment 3:binary matrix" . . (+1)‎ hidedelete
(cur prev	topic) 18:10, 18 March 2019 . . Arunkumar (talk | contribs) commented on "GPS Map error" (No need of any payment. This is any way for practice. We should ignore those errors, as we can see the map still.) . . (+113)‎ hidedelete
(cur prev	topic) 18:09, 18 March 2019 . . Harish Narayana (talk | contribs) edited a comment on "program assignment 3:binary matrix" . . (+35)‎ hidedelete
(cur prev	topic) 18:08, 18 March 2019 . . Harish Narayana (talk | contribs) commented on "program assignment 3:binary matrix" (Hi all i tried running this,but the output is always "NO" can someone please help? n,m = input().split(" ") n = int(n) m = int(m) a = []...) . . (+402)‎ hidedelete
(cur prev	topic) 16:49, 18 March 2019 . . Pallavikhatri (talk | contribs) commented on "Programming Assignment-3: Binary Matrix" (Still not working. only one test case is passed. i think there is some issue with string or integer type in matrix. unable to resolve ro...) . . (+551)‎ hidedelete
(cur prev	topic) 16:25, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (@kirpan. Sorry to say this. Forget about this, after installation with all your efforts you will not be able to see the final plot. Goog...) . . (+223)‎ hidedelete
(cur prev	topic) 16:16, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (Mine is windows 7 - 64 bit. he is directly typing the command as python -m pip install gmplot where as i went inside python and just ty...) . . (+184)‎ hidedelete
(cur prev	topic) 16:10, 18 March 2019 . . Kamalakar (talk | contribs) commented on "GPS Map error" (yes what should be done now. looks like we need to have an billable account if i am correct) . . (+91)‎ hidedelete
(cur prev	topic) 14:08, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (He is using Windows 10 32bit. What could be the difference. He is getting SSL Certificate error.) . . (+96)‎ hidedelete
(cur prev	topic) 14:06, 18 March 2019 . . Arunkumar (talk | contribs) commented on "GPS Map error" (is it showing "This page can't load Google Maps correctly." and "For development purposes only". Watermark? That is because of this dev...) . . (+299)‎ hidedelete
(cur prev	topic) 14:06, 18 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+13)‎ hidedelete
(cur prev	topic) 14:04, 18 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+12)‎ hidedelete
(cur prev	topic) 14:03, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Unable to install gmplot" (This is how i installed gmplot in windows 7 laptop go to command prompt in dos window type py or python to start your python at the co...) . . (+199)‎ hidedelete
(cur prev	topic) 14:01, 18 March 2019 . . Kamalakar (talk | contribs) edited a comment on "GPS Map error" . . (+32)‎ hidedelete
(cur prev	topic) 14:00, 18 March 2019 . . Kamalakar (talk | contribs) commented on "GPS Map error" (Hello all, I have run the program as given in the video. It created the mymap.html with 17.2kb I opened it in note pad and saw the html c...) . . (+293)‎ hidedelete
(cur prev	topic) 13:58, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (Please follow the above link and reply him) . . (+42)‎ hidedelete
(cur prev	topic) 13:57, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (go to command prompt in dos window type py or python to start your python at the command prompt type pip install gmplot it will do...) . . (+141)‎ hidedelete
(cur prev) 13:26, 18 March 2019 . . Arunkumar (talk | contribs) edited the description . . (+106)‎ undo
(cur prev) 13:25, 18 March 2019 . . Arunkumar (talk | contribs) edited the description . . (+196)‎ undo
(cur prev	topic) 13:23, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+48)‎ hidedelete
(cur prev	topic) 12:56, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (update all will update at least your current packages. But i doubt.) . . (+67)‎ hidedelete
(cur prev	topic) 12:54, 18 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (SSL error again while running first command.Now,should i proceed with update all command??) . . (+90)‎ hidedelete
(cur prev	topic) 12:49, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+2)‎ hidedelete
(cur prev	topic) 12:49, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+70)‎ hidedelete
(cur prev	topic) 12:47, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (-1)‎ hidedelete
(cur prev	topic) 12:47, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (Looks like windows is complicated for development. These commands are used to update anaconda to latest version. See if these work on wi...) . . (+204)‎ hidedelete
(cur prev	topic) 12:39, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (+63)‎ hidedelete
(cur prev	topic) 12:38, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (we are using map to convert input to int, and list is used to convert the entire thing to List type. Friend @Kamalakar, Can you help @k...) . . (+173)‎ hidedelete
(cur prev	topic) 12:30, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (what will list and map do in the command mat=[[m for m in list(map(int,input().split()))] for r in range(n)]) . . (+110)‎ hidedelete
(cur prev	topic) 12:27, 18 March 2019 . . Kamalakar (talk | contribs) deleted a comment on "Fun With Turtle. Turtle to Create Your Photograph" (deleted the formatting) . . (-22)‎ undelete
(cur prev	topic) 12:26, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (what is permanent link) . . (+22)‎ 
(cur prev	topic) 12:22, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (Now it is perfect. as this post becomes old, for some reason, these all won't work, but using permanent link, we can open our posts with...) . . (+148)‎ hidedelete
(cur prev	topic) 12:21, 18 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (pip install --trusted-host pypi.org --trusted-host files.pythonhosted.org gmplot .Sir tried this command but then also showing the same m...) . . (+144)‎ hidedelete
(cur prev	topic) 12:20, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (@Arun I emailed you. if it works on your computer, if it is worth posting in user notes, please feel free to post it.) . . (+117)‎ hidedelete
(cur prev	topic) 12:20, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (No problem friend @Kamalakar, I also know basic HTML. As a Linux person I am little towards technical. That's it.) . . (+120)‎ hidedelete
(cur prev	topic) 12:17, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (#inputs to the program are inc and image_name # inc=1 takes lot of time. inc=5 or 10 does it quickly. you can give any value. # try it fi...) . . (+1,669)‎ hidedelete
(cur prev	topic) 12:13, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Problem 1 printing question" (This is what i expected the group to do.) . . (+40)‎ hidedelete
(cur prev	topic) 12:11, 18 March 2019 . . Kamalakar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (I am not a soft engineer that is why i did not understand what you said earlier. OK i will post it again.) . . (+105)‎ hidedelete
(cur prev	topic) 12:10, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+205)‎ hidedelete
(cur prev	topic) 12:03, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+1)‎ hidedelete
(cur prev	topic) 12:02, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (I checked your link, You are having SSL certificate problem. In the above link, they have shown on how to add exception. did you try those.) . . (+139)‎ hidedelete
